title,stars_rating,run_time,release_date,mpaa_rating,genre,director,cast
"Beta Test, The",2.5,93.0,2021,"Profanity, Violence, Sexual Content, Nudity",Thriller/Drama,"Jim Cummings, PJ McCabe","Jim Cummings, Virginia Newcomb, PJ McCabe, Jessie Barr, Jacqueline Doke"
Eternals,2.0,157.0,2021,"Violence, Profanity, Sexual Content",Action/Fantasy,Chloe Zhao,"Gemma Chan, Barry Keoghan, Lauren Ridloff, Brian Tyree Henry, Lia McHugh, Kumail Nanjiani, Kit Harrington, Salma Hayek, Angelina Jolie, Richard Madden, Don Lee"
Plan 9 from Outer Space,0.0,79.0,,,Science Fiction/Horror,Edward D. Wood Jr.,"Gregory Walcott, Mona McKinnon, Duke Moore, Tom Keene, Tor Johnson, Dudley Manlove, Joanna Lee, John Breckinridge, Lyle Talbot, Vampira, Bela Lugosi, Criswell"
Last Night in Soho,2.5,116.0,2021,"Violence, Profanity, Sexual Content, Ghoulish Images",Horror/Thriller,Edgar Wright,"Thomasin McKenzie, Anya Taylor-Joy, Matt Smith, Diana Rigg, Terence Stamp, Michael Ajao, Synnove Karlsen, Rita Tushingham, Margaret Nolan"
Passing,3.5,98.0,2021,"Profanity, Sexual Content, Racism",Drama/Thriller,Rebecca Hall,"Tessa Thompson, Ruth Negga, Andre Holland, Bill Camp, Alexander Skarsgård"
Tomorrow Never Dies,3.0,120.0,1997,"Violence, Sexual Situations, Profanity",ACTION/ADVENTURE,Roger Spottiswoode,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher, Gotz Otto, Judi Dench"
Cast Away,4.0,144.0,2000,"Profanity, Mature Themes",ADVENTURE,Robert Zemeckis,"Tom Hanks, Helen Hunt"
Silk,1.5,112.0,2007,"Nudity, Sexual Situations",DRAMA,François Girard,"Michael Pitt, Keira Knightley, Kôji Yakusho, Alfred Molina, Mark Rendall, Sei Ashina"
"Notorious Bettie Page, The",3.0,100.0,2006,"Nudity, Sexual Situations, Profanity",DRAMA,Mary Harron,"Gretchen Mol, Chris Bauer, Jared Harris, Sarah Paulson, Cara Seymour, David Strathairn, Lili Taylor"
When a Stranger Calls,2.0,90.0,2006,Violence,HORROR,Simon West,"Camilla Belle, Tommy Flanagan, Derek de Lint, Kate Jennings Grant"
"Lock, Stock and Two Smoking Barrels",3.5,103.0,1999,"Violence, Profanity, Drugs, Nudity",THRILLER,Guy Ritchie,"Jason Flemyng, Peter McNicholl, Stephen Marcus, Frank Harper, Steve Sweeney, P.H. Moriarty, Lenny McLean, Sting, Vinnie Jones, Steven Mackintosh, Jason Statham, Nick Moran, Dexter Fletcher, Vas Blackwood"
Ghost Dog,2.5,116.0,2000,"Profanity, Violence",THRILLER,Jim Jarmusch,"Forest Whitaker, John Tormey, Cliff Gorman, Henry Silva, Isaach De Bankolé, Tricia Vessey, Victor Argo"
Live Flesh,3.5,100.0,1998,"Sexual Situations, Nudity, Profanity, Drugs",THRILLER/DRAMA,Pedro Almodovar,"Liberto Rabal, Francesca Neri, Javier Bardem, Angela Molina, Jose Sancho, Penelope Cruz"
About Schmidt,3.0,124.0,2002,"Profanity, Nudity",DRAMA/COMEDY,Alexander Payne,"Jack Nicholson, Hope Davis, Dermot Mulroney, June Squibb, Kathy Bates, Howard Hessman"
Ethan Frome,3.0,103.0,1993,Mature Themes,DRAMA,John Madden,"Liam Neeson, Patricia Arquette, Joan Allen"
Some Mother's Son,3.5,112.0,1996,"Profanity, Violence",DRAMA,Terry George,"Helen Mirren, Fionnula Flanagan, Aidan Gillen, David O'Hara, John Lynch, Ciaran Hinds, Geraldine O'Rawe, Grainne Delany"
Black Hawk Down,3.5,143.0,2002,Violence,ACTION/ADVENTURE,Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana, William Fichtner, Ewen Bremner, Sam Shepard"
Bound,3.5,109.0,1996,"Violence, Profanity, Sex, Nudity",THRILLER,"Andy Wachowski, Larry Wachowski","Jennifer Tilly, Gina Gershon, Joe Pantoliano, John Ryan, Christopher Meloni, Richard Sarafian"
Seven Samurai,4.0,207.0,,"Violence, Sexual Situations",ADVENTURE,Akira Kurosawa,"Takashi Shimura, Yoshio Tsuchiya, Keiko Tsushima, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Daisuke Kato, Isao Kimura, Toshiro Mifune, Kamatari Fujiwara"
Unforgiven,3.5,131.0,1992,"Violence, Profanity, Sexual Situations",WESTERN,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett, Saul Rubinek, Frances Fisher, Anna Thomson"
Click,3.0,108.0,2006,"Profanity, Sexual Situations",COMEDY,Frank Coraci,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff, Henry Winkler, Julie Kavner, Sean Astin, Cameron Monaghan, Jennifer Coolidge"
"Lot Like Love, A",3.0,100.0,2005,"Sexual Situations, Nudity, Profanity",ROMANCE/COMEDY,Nigel Cole,"Ashton Kutcher, Amanda Peet, Kathryn Hahn, Kal Penn, Ali Larter, Taryn Manning, Gabriel Mann, Jeremy Sisto"
Strictly Ballroom,3.5,94.0,1993,Mature Themes,COMEDY,Baz Luhrmann,"Paul Mercurio, Tara Morice, Gia Carides, Pat Thompson, Bill Hunter, Barry Otto"
Welcome to Sarajevo,3.5,100.0,1997,"Violence, Profanity",DRAMA,Michael Winterbottom,"Stephen Dillane, Woody Harrelson, Marisa Tomei, Emira Nusevic, Kerry Fox, Goran Visnjic, Emily Lloyd, James Nesbitt"
Election,3.5,104.0,1999,"Sexual Content, Profanity",COMEDY,Alexander Payne,"Matthew Broderick, Reese Witherspoon, Chris Klein, Jessica Campbell, Mark Harelik, Phil Reeves, Molly Hagan, Delaney Driscoll"
King Arthur: Legend of the Sword,3.0,126.0,2017,"Violence, Profanity, Brief Nudity",Fantasy/Adventure,Guy Ritchie,"Charlie Hunnam, Jude Law, Djimon Hounsou, Astrid Berges-Frisbey, Aidan Gillen, Eric Bana"
Snatched,3.0,91.0,2017,"Profanity, Sexual Content, Nudity, Violence",Action/Comedy,Jonathan Levine,"Amy Schumer, Goldie Hawn, Ike Barinholtz, Wanda Sykes, Joan Cusack, Tom Bateman, Oscar Jaenada, Christopher Meloni"
Guardians of the Galaxy Vol. 2,3.0,136.0,2017,"Violence, Profanity, Sexual Content",Action/Adventure,James Gunn,"Chris Pratt, Elizabeth Debicki, Sylvester Stallone, Pom Klementieff, Kurt Russell, Karen Gillan, Michael Rooker, Vin Diesel, Bradley Cooper, Dave Bautista, Zoe Saldana, Sean Gunn"
"Circle, The",2.0,110.0,2017,Profanity,Thriller,James Ponsoldt,"Emma Watson, Tom Hanks, John Boyega, Karen Gillan, Bill Paxton, Glenne Headly, Patton Oswalt, Ellar Coltrane"
Free Fire,3.0,90.0,2017,"Violence, Profanity",Thriller,Ben Wheatley,"Armie Hammer, Sharlto Copley, Cillian Murphy, Brie Larson, Sam Riley, Michael Smiley, Jack Reynor, Noah Taylor, Babou Ceesay"
"Lost City of Z, The",2.5,141.0,2017,"Violence, Disturbing Images",Drama/Adventure,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland, Edward Ashley, Angus Macfadyen, Ian McDiarmid, Clive Francis"
"Promise, The",3.0,132.0,2017,"Violence, Disturbing Images",Drama/Adventure,Terry George,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Shohreh Aghdashloo, Angela Sarafya"
Their Finest,3.0,116.0,2017,"Violence, Profanity, Sexual Content, Brief Nudity",Drama,Lone Scherfig,"Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston, Paul Ritter, Rachael Stirling, Richard E. Grant, Henry Goodwin"
"Fate of the Furious, The",2.5,136.0,2017,"Violence, Profanity, Sexual Content",Action/Thriller,F. Gary Gray,"Vin Diesel, Kristofer Hivju, Nathalie Emmanuel, Ludacris, Tyrese Gibson, Scott Eastwood, Kurt Russell, Jason Statham, Michelle Rodriguez, Charlize Theron, Dwayne Johnson, Helen Mirren"
Gifted,3.0,101.0,2017,Adult Themes,Drama,Marc Webb,"Chris Evans, Lindsay Duncan, McKenna Grace, Octavia Spencer, Jenny Slate"
Certified Copy,3.5,106.0,2011,Profanity,DRAMA,Abbas Kiarostami,"Juliette Binoche, William Shimell"
Water for Elephants,2.5,123.0,2011,"Sexual Content, Violence",DRAMA,Francis Lawrence,"Reese Witherspoon, Robert Pattinson, Christoph Waltz, Jim Norton, Hal Holbrook, Mark Povinelli"
"Greatest Movie Ever Sold, The",3.0,90.0,2011,"Profanity, Brief Nudity",DOCUMENTARY,Morgan Spurlock,Morgan Spurlock
Scream 4,2.0,108.0,2011,"Violence, Profanity, Sexual Content",HORROR,Wes Craven,"Neve Campbell, David Arquette, Courteney Cox, Hayden Panettiere, Emma Roberts, Marley Shelton, Rory Culkin, Mary McDonnell"
Rio,2.5,91.0,2011,,ANIMATED,Carlos Saldanha,"(voices) Jesse Eisenberg, Anne Hathaway, Leslie Mann, Rodrigo Santoro, Jamie Foxx, will.i.am, Jermaine Clement, George Lopez"
Arthur,2.0,110.0,2011,"Profanity, Sexual Content",COMEDY,Jason Winer,"Russell Brand, Helen Mirren, Greta Gerwig, Jennifer Garner, Geraldine James, Luis Guzman, Nick Nolte"
Your Highness,2.5,103.0,2011,"Violence, Profanity,Sexual Content, Nudity, Drugs",FANTASY/COMEDY,David Gordon Green,"Danny McBride, James Franco, Rasmus Hardiker, Natalie Portman, Zooey Deschanel, Justin Theroux, Toby Jones, Charles Dance, Damian Lewis"
Cracks,3.0,104.0,2011,"Sexual Content, Nudity, Violence",DRAMA/THRILLER,Jordan Scott,"Eva Green, Juno Temple, Maria Valverde, Imogen Poots, Ellie Nunn, Adele McCann, Zoe Carroll, Clemmie Dugdale, Sinead Cusack"
Hanna,3.5,105.0,2011,"Violence, Profanity",THRILLER/ACTION,Joe Wright,"Saoirse Ronan, Eric Bana, Cate Blanchett, Tom Hollander, Olivia Williams, Jason Flemyng, Jessica Barden, Aldo Maland"
Potiche,3.0,103.0,2011,Sexual Content,DRAMA/COMEDY,François Ozon,"Catherine Deneuve, Gerard Depardieu, Fabrice Luchini, Karin Viard, Judith Godreche"
Ice Age: Continental Drift,2.5,85.0,2012,,ANIMATED,"Steve Martino, Michael Thurmeier","(voices) Ray Romano, Denis Leary, John Leguizamo, Queen Latifa, Peter Dinklage, Jennifer Lopez, Keke Palmer, Wanda Sykes"
To Rome with Love,1.5,109.0,2012,"Sexual Content, Profanity",COMEDY/DRAMA,Woody Allen,"Alec Baldwin, Judy Davis, Woody Allen, Roberto Benigni, Penelope Cruz, Alessandra Mastronardi, Alessandro Tiberi, Ellen Page, Greta Gerwig, Jesse Eisenberg, Fabio Armiliato"
Savages,3.0,130.0,2012,"Violence, Sexual Content, Profanity, Nudity, Drugs",THRILLER,Oliver Stone,"Taylor Kitsch, Aaron Johnson, Blake Lively, Benicio Del Toro, Salma Hayek, John Travolta, Demian Bichir, Emile Hirsch"
"Amazing Spider-Man, The",2.0,136.0,2012,Violence,ACTION/ADVENTURE,Mark Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Martin Sheen, Sally Field, Irrfan Khan"
Ted,3.0,106.0,2012,"Profanity, Sexual Content, Drugs, Nudity",COMEDY,Seth MacFarlane,"Mark Wahlberg, Mila Kunis, Seth MacFarlane (voice), Joel McHale, Giovanni Ribisi, Patrick Warburton, Jessica Barth"
Magic Mike,3.0,110.0,2012,"Profanity, Nudity, Sexual Content, Drugs",DRAMA,Steven Soderbergh,"Channing Tatum, Alex Pettyfer, Matthew McConaughey, Cody Horn, Olivia Munn"
Beasts of the Southern Wild,2.5,91.0,2012,"Violence, Profanity",DRAMA/FANTASY,Benh Zeitlin,"Quvenzhane Wallis, Dwight Henry"
Take This Waltz,3.0,116.0,2012,"Sexual Content, Profanity, Nudity",DRAMA,Sarah Polley,"Michelle Williams, Seth Rogen, Luke Kirby, Sarah Silverman, Jennifer Podemski"
Brave,2.5,95.0,2012,,ANIMATED,"Brenda Chapman, Mark Andrews","(voices) Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters, Robbie Coltrane, Kevin McKidd, Craig Ferguson"
Abraham Lincoln: Vampire Hunter,2.5,105.0,2012,"Violence, Sexual Content",HORROR/ACTION,Timur Bekmambetov,"Benjamin Walker, Dominic Cooper, Anthony Mackie, Mary Elizabeth Winstead, Rufus Sewell, Marton Csokas, Jimmi Simpson"
Dance Flick,2.0,83.0,2009,"Profanity, Sexual Situations",COMEDY,Damien Dante Wayans,"Shoshana Bush, Damon Wayans Jr., Essence Atkins, Affion Crockett, David Alan Grier, Shawn Wayans, Christina Murphy, Keenan Ivory Wayans"
Night at the Museum: Battle of the Smithsonian,2.0,105.0,2009,"Mild Profanity, Cartoon Violence",ADVENTURE/COMEDY,Shawn Levy,"Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Robin Williams, Christopher Guest, Alain Chabat, Jake Cherry"
Back to the Future,3.5,117.0,1985,,FANTASY/COMEDY,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson, Claudia Wells"
Terminator: Salvation,3.0,115.0,2009,"Violence, Profanity",SCIENCE FICTION/ACTION,McG,"Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter, Anton Yelchin, Bryce Dallas Howard, Common, Jane Alexander, Michael Ironside"
"Girlfriend Experience, The",3.0,77.0,2009,"Profanity, Sexual Situations, Brief Frontal Female Nudity",DRAMA,Steven Soderbergh,"Sasha Grey, Chris Santos, Glenn Kenny"
Sixteen Candles,2.5,93.0,1984,"Occasional Profanity, Sexual Situations, Brief Female Toplessness, Brief Female Side Nudity",COMEDY,John Hughes,"Molly Ringwald, Michael Schoeffling, Anthony Michael Hall, Haviland Morris, Gedde Wantanabe, Paul Dooley, Blanche Baker"
"Brothers Bloom, The",3.0,109.0,2009,"Occasional Profanity, Mild Violence, Brief Rear Female Nudity",THRILLER/COMEDY,Rian Johnson,"Adrien Brody, Mark Ruffalo, Rachel Weisz, Rinko Kikuchi, Robbie Coltrane"
Goodbye Solo,3.0,91.0,2009,"Occasional Profanity, Mature Themes",DRAMA,Ramin Bahrani,"Souleymane Sy Savane, Red West, Diana Franco Galindo, Carmen Leyva"
Angels &amp; Demons,1.5,134.0,2009,Violence,THRILLER,Ron Howard,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård, Pierfrancesco Favino, Nikolaj Lie Kaas, Armin Mueller-Stahl, Thure Lindhardt"
Management,2.0,93.0,2009,"Sexual Situations, Profanity",ROMANCE/COMEDY,Stephen Belber,"Jennifer Aniston, Steve Zahn, Margon Martindale, Fred Ward, James Liao, Woody Harrelson"
Mrs. Harris Goes to Paris,2.5,92.0,2022,,Drama/Comedy,Anthony Fabian,"Lesley Manville, Jason Isaacs, Anna Chancellor, Rose Williams, Lucas Bravo, Alba Baptista, Isabelle Huppert, Lambert Wilson, Ellen Thomas"
You Don't Nomi,2.5,89.0,2022,"Sexual Content, Nudity, Profanity",Documentary,Jeffrey McHale,"Jeffrey Conway, Haley Mlotek, Adam Nayman, David Schmader, Jeffrey Sconce, Paul Verhoeven, April Kidwell, Joe Eszterhas, Elizabeth Berkley"
Thor: Love and Thunder,3.0,119.0,2022,"Violence, Profanity, Brief Nudity",Action/Comedy,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson, Chris Pratt, Taika Waititi, Russell Crowe"
Minions: The Rise of Gru,3.0,87.0,2022,"Rude Comments, Naked Minion Butts",Animated,"Kyle Balda, Brad Ableson, Jonathan Del Val","Steve Carell, Pierre Coffin, Alan Arkin, Taraji P. Henson, Michelle Yeoh, Julie Andrews, Russell Brand, Jean-Claude Van Damme, Dolph Lundgren, Danny Trejo, Lucy Lawless"
"Forgiven, The",3.0,117.0,2022,"Violence, Profanity, Sexual Content, Drugs",Drama,John Michael McDonagh,
Mr. Malcolm's List,2.0,115.0,2022,,Romance/Drama,Emma Holly Jones,"Freida Pinto, Zawe Ashton, Sope Dirisu, Theo James, Oliver Jackson-Cohen, Naoko Mori, Ashley Park"
Elvis,3.0,159.0,2022,"Sexual Content, Profanity",Musical/Drama,Baz Luhrmann,"Austin Butler, Tom Hanks, Olivia DeJonge, Helen Thomson, Richard Roxburgh, Kelvin Harrison Jr., David Wenham"
"Black Phone, The",3.0,102.0,2022,"Violence, Profanity, Intense Terror",Horror,Scott Derrickson,"Mason Thames, Madeleine McGraw, Ethan Hawke, Jeremy Davies, E. Roger Mitchell, Troy Rudeseal"
"Man from Toronto, The",2.0,110.0,2022,"Violence, Profanity",Action/Comedy,Patrick Hughes,"Kevin Hart, Woody Harrelson, Kaley Cuoco, Ellen Barkin, Jasmine Matthews"
Lightyear,2.5,100.0,2022,,Animated/Action,Angus MacLane,"Chris Evans, Keke Palmer, Peter Sohn, Taika Waititi, Dale Soules, James Brolin"
Lakeview Terrace,2.0,110.0,2008,"Profanity, Violence, Sexual Situations",THRILLER,Neil LaBute,"Samuel L. Jackson, Patrick Wilson, Kerry Washington"
"Cement Garden, The",3.5,105.0,,"Nudity, Sexual Situations, Profanity",DRAMA,Andrew Birkin,"Andrew Robertson, Charlotte Gainsbourg, Alice Coultard, Ned Birkin, Sinead Cusack"
"Minus Man, The",3.0,110.0,1999,"Profanity, Sexual Content, Violence, Drugs",THRILLER,Hampton Fancher,"Owen Wilson, Brian Cox, Mercedes Ruehl, Janeane Garofalo, Dwight Yoakam, Dennis Haysbert, Sheryl Crow"
Jaws,4.0,124.0,1975,"Violence, Brief Nudity",THRILLER,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton"
Meet the Parents,2.5,107.0,2000,"Sexual Situations, Profanity",COMEDY,Jay Roach ,"Robert De Niro, Ben Stiller, Blythe Danner, Teri Polo, Nicole DeHuff, Jon Abrahams, James Rebhorn, Phyllis George, Owen Wilson"
Reign over Me,2.0,125.0,2007,Profanity,DRAMA,Mike Binder,"Adam Sandler, Don Cheadle, Jada Pinkett Smith, Liv Tyler, Saffron Burrows, Donald Sutherland, Robert Klein, Melinda Dillon, Mike Binder"
Monty Python and the Holy Grail,4.0,91.0,,"Sexual Situations, Profanity",COMEDY,"Terry Gilliam, Terry Jones","John Cleese, Eric Idle, Michael Palin, Graham Chapman, Terry Jones, Terry Gilliam"
"Pursuit of Happyness, The",2.0,117.0,2006,Profanity,DRAMA,Gabriele Muccino,"Will Smith, Jaden Christopher Syre Smith, Thandie Newton, Brian Howe, James Karen, Dan Castellaneta"
Hounddog,1.5,107.0,2008,"Violence, Profanity, Nudity",DRAMA,Deborah Kampmeier,"Dakota Fanning, David Morse, Piper Laurie, Robin Wright Penn, Afemo Omilami, Cody Hanford"
What Happened Was...,3.0,90.0,,"Profanity, Mature Themes",COMEDY,Tom Noonan,"Tom Noonan, Karen Sillas"
Gulliver's Travels,1.5,85.0,2010,,AVENTURE,Rob Letterman,"Jack Black, Jason Segel, Emily Blunt, Amanda Peet, Billy Connolly, Chris O'Dowd, Catherine Tate"
Rabbit Hole,3.5,92.0,2010,"Profanity, Drugs",DRAMA,John Cameron Mitchell,"Nicole Kidman, Aaron Eckhart, Dianne Wiest, Tammy Blanchard, Miles Teller, Sandra Oh"
Somewhere,1.5,98.0,2010,"Sexual Content, Profanity, Nudity",DRAMA,Sofia Coppola,"Stephen Dorff, Elle Fanning, Michelle Monaghan, Ellie Kemper, Chris Pontius"
Little Fockers,2.0,95.0,2010,"Profanity, Sexual Content",COMEDY,Paul Weitz,"Robert De Niro, Ben Stiller, Owen Wilson, Dustin Hoffman, Barbra Streisand, Blythe Danner, Teri Polo, Jessica Alba, Laura Dern"
True Grit,3.5,110.0,2010,Violence,WESTERN,"Ethan Coen, Joel Coen","Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin, Barry Pepper"
"King's Speech, The",3.5,118.0,2010,Profanity,DRAMA,Tom Hooper,"Colin Firth, Jennifer Ehle, Michael Gambon, Anthony Andrews, Timothy Spall, Guy Pearce, Derek Jacobi, Helena Bonham Carter, Geoffrey Rush, Claire Bloom"
Made in Dagenham,2.5,113.0,2010,Profanity,DRAMA,Nigel Cole,"Sally Hawkins, Geraldine James, Jaime Winstone, Bob Hoskins, Miranda Richardson, Rupert Graves, Rosamund Pike, Daniel Mays, Richard Schiff"
How Do You Know,2.5,114.0,2010,"Profanity, Sexual Content",ROMANCE/COMEDY,James L. Brooks,"Reese Witherspoon, Paul Rudd, Owen Wilson, Jack Nicholson, Kathryn Hahn"
Casino Jack,3.0,108.0,2010,"Profanity, Violence, Nudity, Drugs",DRAMA,George Hickenlooper,"Kevin Spacey, Barry Pepper, Kelly Preston, Jon Lovitz, Rachelle Lefevre, Graham Greene, Spencer Garret, Jeff Pustil"
TRON: Legacy,2.5,127.0,2010,,SCIENCE FICTION,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner, Michael Sheen"
Underworld: Evolution,2.0,105.0,2006,"Violence, Profanity, Sexual Situations, Nudity",HORROR/ACTION,Len Wiseman,"Kate Beckinsale, Scott Speedman, Tony Curran, Derek Jacobi, Bill Nighy"
Open Range,3.0,140.0,2003,Violence,WESTERN,Kevin Costner,"Robert Duvall, Kevin Costner, Annette Bening, Michael Gambon, Michael Jeter, Diego Luna, James Russo, Abraham Benrubi, Dean McDermott"
Under the Sand,3.5,90.0,2001,"Sexual Situations, Nudity, Profanity",THRILLER/DRAMA,François Ozon,"Charlotte Rampling, Bruno Cremer, Jacques Nolot"
Devil in a Blue Dress,3.0,101.0,1995,"Violence, Profanity, Sexual Content",THRILLER,Carl Franklin,"Denzel Washington, Jennifer Beals, Tom Sizemore, Don Cheadle, Maury Chaykin, Terry Kinney, Lisa Nicole Carson"
"Madness of King George, The",3.5,110.0,1995,Mature Themes,DRAMA,Nicholas Hytner,"Nigel Hawthorne, Helen Mirren, Ian Holm, Amanda Donohoe, Rupert Graves, Rupert Everett"
Runaway Bride,2.0,115.0,1999,Profanity,ROMANTIC COMEDY,Garry Marshall,"Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo, Rita Wilson, Paul Dooley"
Rush Hour 3,1.5,90.0,2007,"Profanity, Violence, Sexual Situations",ACTION/COMEDY,Brett Ratner,"Jackie Chan, Chris Tucker, Hiroyuki Sanada, Noemie Lenoir, Max von Sydow, Yvan Attal"
Running Scared,3.0,115.0,2006,"Violence, Profanity, Nudity, Sexual Situations",THRILLER,Wayne Kramer,"Paul Walker, Cameron Bright, Vera Farmiga, Chazz Palminteri, Johnny Messner, Alex Neuberger, Karel Roden, Ivana Milicevic"
Wah-Wah,2.0,97.0,2006,Profanity,DRAMA,Richard E. Grant,"Gabriel Byrne, Miranda Richardson, Emily Watson, Nicholas Hoult, Julie Walters, Zachary Fox, Celia Imrie, Julian Wadham"
Appaloosa,3.0,114.0,2008,"Violence, Profanity",WESTERN,Ed Harris,"Ed Harris, Viggo Mortensen, Jeremy Irons, Renée Zellweger, Lance Henriksen, Adam Nelson, Ariadna Gil"
Saint Judy,3.0,106.0,2019,"Profanity, Adult Themes",Drama,Sean Hanish,"Michelle Monaghan, Leem Lubandy, Common, Alfred Molina, Alfre Woodard, Mykelti Williamson"
Greta,2.5,98.0,2019,"Violence, Gore, Profanity",Horror/Thriller,Neil Jordan,"Isabelle Huppert, Chloë Grace Moretz, Maika Monroe, Colm Feore, Stephen Rea"
Fletch,2.0,98.0,1985,"Profanity, Sexual Content, Mild Violence",Comedy,Michael Ritchie,"Chevy Chase, Joe Don Baker, Dana Wheeler-Nicholson, Richard Libertini, Tim Matheson, M. Emmet Walsh, George Wendt, Geena Davis"
"Running Man, The",2.0,101.0,1987,"Violence, Profanity",Science Fiction/Action,Paul Michael Glaser,"Arnold Schwarzenegger, Erland Van Lidth, Gus Rethwisch, Professor Toru Tanaka, Jim Brown, Jesse Ventura, Marvin J. McIntrye, Yaphet Kotto, Maria Conchita Alonso, Richard Dawson, Mick Fleetwood"
Fighting with My Family,2.5,108.0,2019,"Violence, Profanity, Sexual Content",Drama/Comedy,Stephen Merchant,"Florence Pugh, Lena Heady, Nick Frost, Jack Lowden, Vince Vaughn, Dwayne Johnson"
How to Train Your Dragon: The Hidden World,2.5,104.0,2019,,Animated/Adventure,Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett, Gerard Butler, Craig Ferguson, Jonah Hill, Kristen Wiig, Christopher Mintz-Plasse"
Z,3.5,127.0,,Violence,Thriller,Costa-Gavras,"Yves Montand, Irene Papas, Jean-Louis Trintignant, Pierre Dux, George Geret, Charles Denner, Bernard Fresson"
